provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_401k_percent_to_limit,retirement_tax_advantaged,90,6802,4,5
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_alaska_microsoft,employer_benefits_perks,100,8687,3,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_backdoor_roth,tax_strategy,100,7883,4,4
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_checking_buffer,cashflow_budgeting,100,7173,4,4
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_costco_optimization,credit_cards_rewards,67,8634,2,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_credit_card_balance_check,debt_credit_health,100,6686,4,4
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_credit_card_strategy,credit_cards_rewards,86,8928,5,7
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_extra_10000,life_planning_major_decisions,67,10183,2,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_food_spend_may,transaction_intelligence,100,2919,2,2
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_hsa,tax_strategy,50,7695,2,4
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_idle_cash,cashflow_budgeting,100,8501,3,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_insurance_review,insurance_risk_protection,100,8387,3,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_life_insurance_need,insurance_risk_protection,67,7621,2,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_mega_backdoor,retirement_tax_advantaged,57,8183,3,7
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_mfte_eligibility_check,housing_rent,100,8166,5,5
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_msft_stock_risk,investing_equity_comp,70,8017,3,5
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_recurring_charges_audit,transaction_intelligence,100,2782,5,5
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_rent_rewards,credit_cards_rewards,100,6292,2,2
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_rental_car_trip,employer_benefits_perks,100,7048,2,2
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_rsu_tax_withholding,investing_equity_comp,100,13847,4,4
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_save_on_rent,housing_rent,83,12740,5,6
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_side_income_tax,tax_strategy,100,6226,3,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_spend_may_total,transaction_intelligence,100,5673,3,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_subscriptions_benefits,savings_expense_reduction,50,7001,1,2
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_tax_optimization,tax_strategy,50,10853,1,3
openai:chat-latest,full_context_baseline,maria_seattle_v0,maria_where_wasting_money,savings_expense_reduction,100,6803,3,3
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_401k_contribution,retirement_tax_advantaged,83,9801,5,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_401k_percent_to_limit,retirement_tax_advantaged,75,5310,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_529_tax_strategy,tax_strategy,100,10017,4,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_backdoor_roth,tax_strategy,58,11394,3,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_checking_buffer,cashflow_budgeting,75,8422,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_childcare_family_spend_may,transaction_intelligence,80,6160,4,5
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_childcare_tax_credits,tax_strategy,80,9348,4,5
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_college_savings_allocation,investing_equity_comp,67,8035,4,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_costco_target_optimization,credit_cards_rewards,80,8158,4,5
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_credit_card_balance_check,debt_credit_health,100,7072,4,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_credit_card_strategy,credit_cards_rewards,67,6686,3,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_daycare_rewards,credit_cards_rewards,83,5875,5,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_dependent_care_fsa,employer_benefits_perks,80,7504,4,5
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_employer_family_benefits,employer_benefits_perks,71,7828,5,7
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_extra_15000,life_planning_major_decisions,71,9207,5,7
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_hsa_family,retirement_tax_advantaged,90,8940,4,5
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_idle_cash,cashflow_budgeting,75,8010,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_insurance_review,insurance_risk_protection,88,8670,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_life_insurance_need,insurance_risk_protection,75,9556,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_mortgage_escrow_review,housing_rent,75,8501,3,4
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_property_insurance_review,housing_rent,100,10806,3,3
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_recurring_charges_audit,transaction_intelligence,100,5760,6,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_spend_may_total,transaction_intelligence,86,6465,6,7
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_subscriptions_benefits,savings_expense_reduction,86,7425,6,7
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_tax_optimization,tax_strategy,63,10620,5,8
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_taxable_investing_priority,investing_equity_comp,67,9604,4,6
openai:chat-latest,full_context_baseline,patel_denver_family_v0,patel_where_wasting_money,savings_expense_reduction,100,9666,5,5
