provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
origin,product_capture,patel_denver_family_v0,patel_childcare_tax_credits,tax_strategy,90,55925,4,5
origin,product_capture,patel_denver_family_v0,patel_college_savings_allocation,investing_equity_comp,75,45835,4,6
origin,product_capture,patel_denver_family_v0,patel_costco_target_optimization,credit_cards_rewards,80,80291,3,5
origin,product_capture,patel_denver_family_v0,patel_credit_card_balance_check,debt_credit_health,75,40340,3,4
origin,product_capture,patel_denver_family_v0,patel_credit_card_strategy,credit_cards_rewards,92,45341,5,6
origin,product_capture,patel_denver_family_v0,patel_daycare_rewards,credit_cards_rewards,75,70693,4,6
origin,product_capture,patel_denver_family_v0,patel_dependent_care_fsa,employer_benefits_perks,70,58577,3,5
origin,product_capture,patel_denver_family_v0,patel_employer_family_benefits,employer_benefits_perks,86,45303,6,7
origin,product_capture,patel_denver_family_v0,patel_extra_15000,life_planning_major_decisions,71,64818,5,7
origin,product_capture,patel_denver_family_v0,patel_hsa_family,retirement_tax_advantaged,80,77308,4,5
origin,product_capture,patel_denver_family_v0,patel_idle_cash,cashflow_budgeting,63,42384,2,4
origin,product_capture,patel_denver_family_v0,patel_insurance_review,insurance_risk_protection,75,73208,3,4
origin,product_capture,patel_denver_family_v0,patel_life_insurance_need,insurance_risk_protection,75,70908,3,4
origin,product_capture,patel_denver_family_v0,patel_mortgage_escrow_review,housing_rent,75,88248,3,4
origin,product_capture,patel_denver_family_v0,patel_property_insurance_review,housing_rent,100,86123,3,3
origin,product_capture,patel_denver_family_v0,patel_recurring_charges_audit,transaction_intelligence,83,42139,5,6
origin,product_capture,patel_denver_family_v0,patel_spend_may_total,transaction_intelligence,71,36877,5,7
origin,product_capture,patel_denver_family_v0,patel_subscriptions_benefits,savings_expense_reduction,100,50251,7,7
origin,product_capture,patel_denver_family_v0,patel_tax_optimization,tax_strategy,88,61738,7,8
origin,product_capture,patel_denver_family_v0,patel_taxable_investing_priority,investing_equity_comp,67,67241,4,6
origin,product_capture,patel_denver_family_v0,patel_where_wasting_money,savings_expense_reduction,90,40510,4,5
