provider,task_id,domain,final_score,judge_score,deterministic_score,judge_deterministic_delta,final_judge_delta,score_source,scoring_warnings
monarch,patel_529_tax_strategy,tax_strategy,62,65,50,15,3,weighted_blend,Score cap 65 checked: answer contradicts a locked fact (1 material); uncapped score was already at or below the cap.
monarch,patel_backdoor_roth,tax_strategy,40,45,50,5,5,weighted_blend,Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_checking_buffer,cashflow_budgeting,25,25,75,50,0,judge_override,Deterministic/judge divergence 50 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,patel_costco_target_optimization,credit_cards_rewards,65,65,70,5,0,weighted_blend,Score cap 65 applied: answer contradicts a locked fact (1 material)
monarch,patel_credit_card_strategy,credit_cards_rewards,5,5,58,53,0,judge_override,Deterministic/judge divergence 53 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,patel_daycare_rewards,credit_cards_rewards,40,55,67,12,15,weighted_blend,Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_dependent_care_fsa,employer_benefits_perks,40,45,60,15,5,weighted_blend,Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_employer_family_benefits,employer_benefits_perks,40,45,57,12,5,weighted_blend,Score cap 75 checked: critical stale/wrong locked current fact detected (stale_dependent_care_fsa_5000); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_extra_15000,life_planning_major_decisions,40,65,57,8,25,weighted_blend,Final/judge divergence 25 points; public score may not match judged response quality. | Score cap 80 checked: stale/wrong locked current fact detected (stale_ira_7000_limit); uncapped score was already at or below the cap. | Score cap 40 applied: answer contradicts a locked fact whose error could cause financial harm (1 dangerous)
monarch,patel_idle_cash,cashflow_budgeting,78,72,100,28,6,weighted_blend,"Deterministic/judge divergence 28 points; inspect validator brittleness or judge reasoning. | Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,patel_property_insurance_review,housing_rent,25,25,67,42,0,judge_override,"Deterministic/judge divergence 42 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality. | Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
monarch,patel_recurring_charges_audit,transaction_intelligence,0,0,33,33,0,judge_override,Deterministic/judge divergence 33 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,patel_subscriptions_benefits,savings_expense_reduction,15,15,50,35,0,judge_override,Deterministic/judge divergence 35 points; inspect validator brittleness or judge reasoning. | Judge override applied because deterministic exceeded judge by at least 30 points; deterministic checks likely over-passed response quality.
monarch,patel_tax_optimization,tax_strategy,19,15,44,29,4,weighted_blend,"Deterministic/judge divergence 29 points; inspect validator brittleness or judge reasoning. | Score cap 85 checked: judge found the user-visible answer was truncated, cut off, or incomplete; uncapped score was already at or below the cap."
