provider,mode,persona_id,task_id,domain,deterministic_score,latency_ms,checks_passed,checks_total
monarch,product_capture,maria_seattle_v0,maria_rental_car_trip,employer_benefits_perks,50,,1,2
monarch,product_capture,maria_seattle_v0,maria_rsu_tax_withholding,investing_equity_comp,100,,4,4
monarch,product_capture,maria_seattle_v0,maria_save_on_rent,housing_rent,33,,1,6
monarch,product_capture,maria_seattle_v0,maria_side_income_tax,tax_strategy,67,,2,3
monarch,product_capture,maria_seattle_v0,maria_spend_may_total,transaction_intelligence,100,17577,3,3
monarch,product_capture,maria_seattle_v0,maria_subscriptions_benefits,savings_expense_reduction,0,,0,2
monarch,product_capture,maria_seattle_v0,maria_tax_optimization,tax_strategy,50,,1,3
monarch,product_capture,maria_seattle_v0,maria_where_wasting_money,savings_expense_reduction,33,,1,3
monarch,product_capture,patel_denver_family_v0,patel_401k_contribution,retirement_tax_advantaged,67,113951,4,6
monarch,product_capture,patel_denver_family_v0,patel_401k_percent_to_limit,retirement_tax_advantaged,50,113273,2,4
monarch,product_capture,patel_denver_family_v0,patel_529_tax_strategy,tax_strategy,50,97748,2,4
monarch,product_capture,patel_denver_family_v0,patel_backdoor_roth,tax_strategy,50,97766,3,6
monarch,product_capture,patel_denver_family_v0,patel_checking_buffer,cashflow_budgeting,75,97679,3,4
monarch,product_capture,patel_denver_family_v0,patel_childcare_family_spend_may,transaction_intelligence,80,36635,4,5
monarch,product_capture,patel_denver_family_v0,patel_childcare_tax_credits,tax_strategy,60,96904,3,5
monarch,product_capture,patel_denver_family_v0,patel_college_savings_allocation,investing_equity_comp,50,97075,3,6
monarch,product_capture,patel_denver_family_v0,patel_costco_target_optimization,credit_cards_rewards,70,96883,3,5
monarch,product_capture,patel_denver_family_v0,patel_credit_card_balance_check,debt_credit_health,100,96772,4,4
monarch,product_capture,patel_denver_family_v0,patel_credit_card_strategy,credit_cards_rewards,58,97128,3,6
monarch,product_capture,patel_denver_family_v0,patel_daycare_rewards,credit_cards_rewards,67,96773,4,6
monarch,product_capture,patel_denver_family_v0,patel_dependent_care_fsa,employer_benefits_perks,60,96845,3,5
monarch,product_capture,patel_denver_family_v0,patel_employer_family_benefits,employer_benefits_perks,57,96818,4,7
monarch,product_capture,patel_denver_family_v0,patel_extra_15000,life_planning_major_decisions,57,110777,4,7
monarch,product_capture,patel_denver_family_v0,patel_hsa_family,retirement_tax_advantaged,60,110759,3,5
monarch,product_capture,patel_denver_family_v0,patel_idle_cash,cashflow_budgeting,100,110778,4,4
monarch,product_capture,patel_denver_family_v0,patel_insurance_review,insurance_risk_protection,75,110894,3,4
monarch,product_capture,patel_denver_family_v0,patel_life_insurance_need,insurance_risk_protection,50,111040,2,4
monarch,product_capture,patel_denver_family_v0,patel_mortgage_escrow_review,housing_rent,50,111714,2,4
monarch,product_capture,patel_denver_family_v0,patel_property_insurance_review,housing_rent,67,111785,2,3
monarch,product_capture,patel_denver_family_v0,patel_recurring_charges_audit,transaction_intelligence,33,44585,2,6
monarch,product_capture,patel_denver_family_v0,patel_spend_may_total,transaction_intelligence,71,22516,4,7
monarch,product_capture,patel_denver_family_v0,patel_subscriptions_benefits,savings_expense_reduction,50,111823,3,7
monarch,product_capture,patel_denver_family_v0,patel_tax_optimization,tax_strategy,44,111799,3,8
monarch,product_capture,patel_denver_family_v0,patel_taxable_investing_priority,investing_equity_comp,67,111754,4,6
monarch,product_capture,patel_denver_family_v0,patel_where_wasting_money,savings_expense_reduction,100,111538,5,5
